black,white,red,orange,yellow,green,blue,purple
agent,agent,agent,agent,agent,boy,accident,agent
american,american,american,american,american,child,agent,aging
army,assassin,army,army,assassin,city,american,american
assassin,battle,assassin,assassin,battle,classroom,army,boy
battle,boy,battle,band,boy,community,assassin,child
boy,child,boy,battle,capture,conflict,battle,city
child,city,child,black,christmas,crime,boy,day
city,crime,city,boy,city,daughter,child,dead
crime,daughter,couple,british,crime,dead,city,death
daughter,day,crime,child,day,destruction,crime,delivery
day,dead,daughter,children,dead,detective,daughter,family
dead,death,day,city,death,discovers,day,father
death,detective,dead,crime,detective,falls,dead,film
detective,discover,death,criminal,discovers,family,death,forced
discovers,drug,detective,daughter,escape,girl,detective,future
drug,fall,discover,day,falls,guard,discovers,game
falls,family,drug,dead,family,home,drug,girl
family,father,event,death,father,killer,evil,home
father,fight,fall,detective,forced,life,falls,leads
fight,film,family,discover,friend,lord,family,legendary
film,friend,father,discovers,future,love,father,life
forced,future,fight,drug,gang,medieval,fight,lives
friend,german,film,event,german,mother,film,love
future,girl,force,falls,girl,murder,forced,mother
german,home,french,family,home,mysterious,friend,mysterious
girl,killer,friend,father,insane,people,future,night
home,lawyer,future,fight,killer,police,german,people
killer,lead,gang,film,lawyer,prisoner,girl,relationship
lawyer,life,german,forced,leads,relationship,home,save
leads,live,girl,free,life,save,journey,school
life,love,home,friend,lives,school,killer,secret
lives,mother,killer,future,love,search,lawyer,series
love,murder,lawyer,gangster,mother,secret,leads,story
missing,mysterious,lead,german,murder,son,life,team
mother,officer,life,girl,mysterious,story,lives,town
murder,past,live,home,officer,team,love,universe
mysterious,people,love,indian,past,time,missing,war
officer,police,missing,journey,police,war,mother,wife
past,relationship,mother,killer,robbery,wife,murder,woman
people,save,murder,king,save,woman,mysterious,world
police,school,mysterious,lawyer,school,world,officer,
relationship,search,officer,leads,search,,past,
save,secret,past,life,secret,,people,
school,series,people,lives,series,,police,
search,son,police,love,son,,princess,
secret,story,relationship,missing,story,,race,
series,team,save,mother,team,,relationship,
son,time,school,murder,time,,save,
story,town,search,mysterious,town,,school,
team,violent,secret,officer,track,,search,
time,war,series,past,violent,,secret,
town,wife,son,people,war,,series,
violent,woman,story,police,wife,,soldier,
war,world,struggle,relationship,woman,,son,
wife,york,team,rich,world,,story,
woman,,time,save,york,,struggle,
world,,town,school,,,team,
york,,track,search,,,time,
,,violent,secret,,,town,
,,war,series,,,violent,
,,wife,son,,,war,
,,woman,story,,,wife,
,,woman,struggle,,,woman,
,,world,team,,,world,
,,york,time,,,york,
,,,town,,,,
,,,violent,,,,
,,,war,,,,
,,,wife,,,,
,,,woman,,,,
,,,world,,,,
,,,york,,,,
