series_title,released_year,certificate,certificate_age,a,b,c,d,e,f,g,h,i,overview,runtime,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,L1,a1,b1,L2,a2,b2,L3,a3,b3,R1,G1,B1,R2,G2,B2,R3,G3,B3,H1,S1,V1,H2,S2,V2,H3,S3,V3,black,white,red,orange,yellow,green,blue,purple,colorname1,colorname2,colorname3,hex1,hex2,hex3,file_name,dominant_color_file,agent,american,army,assassin,battle,boy,child,city,crime,daughter,day,dead,death,detective,discovers,drug,falls,family,father,fight,film,forced,friend,future,german,girl,home,killer,lawyer,leads,life,lives,love,missing,mother,murder,mysterious,officer,past,people,police,relationship,save,school,search,secret,series,son,story,team,time,town,violent,war,wife,woman,world,york,discover,fall,lead,live,couple,event,force,french,gang,struggle,track,band,black,british,children,criminal,free,gangster,indian,journey,king,rich,capture,christmas,escape,insane,robbery,classroom,community,conflict,destruction,guard,lord,medieval,prisoner,accident,evil,princess,race,soldier,aging,delivery,game,legendary,night,universe,sum_keyword,cv_L1,cv_a1,cv_b1,cv_L2,cv_a2,cv_b2,cv_L3,cv_a3,cv_b3,genre
The Shawshank Redemption,1994,輔導級,12,0,0,1,0,0,0,0,0,0,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",142,9.3,80,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,5.054903882,3.12199902,3.06099951,82.0378284,5.212255212,26.01263424,37.14565515,17.7791343,20.83462819,0.091928182,0.058903564,0.043448179,0.890344114,0.783209824,0.609033842,0.473361337,0.297325839,0.214354791,0.053133196,0.527368234,0.091928182,0.103193282,0.315956794,0.890344114,0.053390573,0.547164556,0.473361337,1,0,1,1,0,0,0,0,black,orange,red,#170F0B,#E3C89B,#794C37,poster1.jpg,poster1_color.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.8900049,131.121999,131.0609995,209.1964624,133.2122552,154.0126342,94.72142064,145.7791343,148.8346282,劇情
The Godfather,1972,輔導級,12,0,0,1,0,0,1,0,0,0,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,175,9.2,100,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton,1.851944877,1.42292912,1.36528608,77.77879307,4.019417476,19.49902913,40.54266777,9.1842723,20.58450704,0.04510376,0.021719641,0.013680206,0.82380281,0.741042037,0.612567246,0.462275618,0.351463923,0.243661214,0.042640175,0.696694777,0.04510376,0.101367709,0.256415202,0.82380281,0.082186342,0.472909224,0.462275618,1,0,0,2,0,0,0,0,black,orange,orange,#0C0603,#D2BD9C,#765A3E,poster2.jpg,poster2_color.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4.722459436,129.4229291,129.3652861,198.3359223,132.0194175,147.4990291,103.3838028,137.1842723,148.584507,"劇情, 黑暗"
The Dark Knight,2008,保護級,6,0,1,1,0,0,1,0,0,0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",96,9,84,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,32.86167824,-5.288723124,-9.467749013,64.37493272,-5.662745098,-3.73254902,9.052808374,-0.450531208,-9.657370518,0.2394641,0.314630262,0.360692094,0.559219214,0.625033896,0.637037677,0.072753255,0.102552643,0.1507535,0.563326726,0.336098284,0.360692094,0.52570894,0.122156767,0.637037677,0.602992961,0.517402548,0.1507535,2,0,0,0,0,0,1,0,blue,black,black,#3D505C,#8F9FA2,#131A26,poster3.jpg,poster3_color.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,83.79727951,122.7112769,118.532251,164.1560784,122.3372549,124.267451,23.08466135,127.5494688,118.3426295,"熱血, 劇情, 黑暗"
The Godfather: Part II,1974,輔導級,12,0,0,1,0,0,1,0,0,0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",202,9,90,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,0.798687767,0.526481936,0.340757629,72.42542515,0.331753555,26.06398104,29.93611924,3.28959276,12.45475113,0.017848832,0.009696863,0.008265689,0.750717704,0.691938384,0.508538105,0.316561691,0.268134858,0.200952719,0.024890477,0.536905888,0.017848832,0.126215062,0.322597426,0.750717704,0.096852545,0.365202029,0.316561691,1,0,0,2,0,0,0,0,black,orange,orange,#050202,#BFB082,#514433,poster4.jpg,poster4_color.jpg,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.036653806,128.5264819,128.3407576,184.6848341,128.3317536,154.063981,76.33710407,131.2895928,140.4547511,"劇情, 黑暗"
12 Angry Men,1957,普遍級,0,0,0,1,0,0,1,0,0,0,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,152,9,96,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,91.59860929,-4.563531945,9.987078248,24.73385399,-0.483050847,0.362288136,85.33091171,-6.918019697,80.39579452,0.894756087,0.914649631,0.829364391,0.227965821,0.231052533,0.227964963,0.906260345,0.843655754,0.117942702,0.205543155,0.093243617,0.914649631,0.333287019,0.013363065,0.231052533,0.15343076,0.869857814,0.906260345,1,1,0,0,1,0,0,0,white,black,yellow,#E4E9D3,#3A3B3A,#E7D71E,poster5.jpg,poster5_color.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,233.5764537,123.4364681,137.9870782,63.07132768,127.5169492,128.3622881,217.5938249,121.0819803,208.3957945,"劇情, 黑暗"
The Lord of the Rings: The Return of the King,2003,普遍級,0,0,1,1,0,0,0,0,0,0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,195,8.9,94,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,8.948067686,1.642963515,5.29560685,73.19186942,1.431413613,17.80575916,40.97820245,2.608121827,16.21015228,0.116302181,0.09601806,0.070056595,0.752755372,0.6985184,0.576820712,0.423714361,0.371151255,0.274728525,0.093563758,0.397633007,0.116302181,0.115286823,0.233720896,0.752755372,0.107865656,0.351618566,0.423714361,1,0,0,2,0,0,0,0,black,orange,orange,#1E1812,#C0B293,#6C5F46,poster6.jpg,poster6_color.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22.8175726,129.6429635,133.2956069,186.639267,129.4314136,145.8057592,104.4944162,130.6081218,144.2101523,"熱血, 劇情"
Pulp Fiction,1994,輔導級,12,0,0,1,0,0,1,0,0,0,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",154,8.9,94,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,71.16396972,8.018890201,34.30932704,10.57140109,4.419051513,-0.37939493,38.27796906,25.33511954,23.70486397,0.798325907,0.658951302,0.436985718,0.134652692,0.104050228,0.114751828,0.525620308,0.284636336,0.208051021,0.102380707,0.452622401,0.798325907,0.941717111,0.227269604,0.134652692,0.040193494,0.604180018,0.525620308,1,0,1,1,0,0,0,0,orange,black,red,#CCA86F,#221B1D,#864935,poster7.jpg,poster7_color.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,181.4681228,136.0188902,162.309327,26.95707277,132.4190515,127.6206051,97.6088211,153.3351195,151.704864,"劇情, 黑暗"
Schindler's List,1993,輔導級,12,0,0,1,0,1,0,0,0,0,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",201,8.9,94,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,5.509390105,1.775931747,-1.622137405,76.83902593,3.404032258,10.15322581,38.05675481,3.948394495,4.107798165,0.078914805,0.067495191,0.081113286,0.791550371,0.73381475,0.670707676,0.384407438,0.342211689,0.325867165,0.806426964,0.16788982,0.081113286,0.087037497,0.152665831,0.791550371,0.04653356,0.152287045,0.384407438,3,0,0,0,0,0,0,0,black,black,black,#141115,#CABBAB,#625753,poster8.jpg,poster8_color.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14.04894477,129.7759317,126.3778626,195.9395161,131.4040323,138.1532258,97.04472477,131.9483945,132.1077982,"劇情, 傳記與歷史"
Inception,2010,保護級,6,0,1,0,0,0,0,0,1,0,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,161,8.8,74,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,7.328022603,0.21347565,-8.367911941,31.37626699,-6.22979684,-13.54040632,64.0264916,-8.560236511,-11.71544715,0.068035414,0.08779937,0.130045442,0.202031025,0.303392041,0.371633296,0.505847948,0.628919385,0.688711918,0.613546344,0.476833536,0.130045442,0.567060084,0.456369956,0.371633296,0.554496368,0.265515908,0.688711918,1,0,0,0,0,0,2,0,black,blue,blue,#111621,#344D5F,#81A0B0,poster9.jpg,poster9_color.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.68645764,128.2134757,119.6320881,80.00948081,121.7702032,114.4595937,163.2675536,119.4397635,116.2845528,"熱血, 奇幻"
Fight Club,1999,輔導級,12,0,0,1,0,0,0,0,0,0,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",142,8.8,66,David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,80.04178454,6.577943615,37.70771144,8.972193411,5.453400504,8.670025189,47.05284823,16.18848758,25.94130926,0.893502084,0.756784924,0.500416393,0.138492534,0.088407872,0.045936522,0.573900192,0.394999181,0.268650537,0.10869917,0.439938192,0.893502084,0.076478644,0.668310481,0.138492534,0.068986507,0.531886309,0.573900192,1,0,0,2,0,0,0,0,orange,black,orange,#E4C180,#23170C,#926545,poster10.jpg,poster10_color.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,204.1065506,134.5779436,165.7077114,22.8790932,133.4534005,136.6700252,119.984763,144.1884876,153.9413093,劇情
